,text
299,so much beautiful omgggggg!!!!!!likely u put different of my fav genres in one and it really is omg!!! fk yeah there are many talanted people today. thank u make my world much better)))
300,Psyland25 brought me here. ğŸ’œğŸ¤«ğŸ’š
301,I really like it
302,I could listen to Skinshape all day every day and never get bored
303,This album has no business being this chill.
304,"We Lose (Lyrics):

[Verse 1]
Oh, my heart that was broke in two
By a cruel, cruel world of sin
Where we reach our grave and we find our peace
It is only then we know

[Chorus]
I've worked hard
And I've been kind
Don't I deserve my life?
But what he doesn't know
Is that he can't pretend
He can't hold back the lies

[Verse 2]
Be my wall and I won't forget
Your face, your loyalty
While you dream of gold
Many lies are sold to satisfy your greed

[Chorus]
Close your eyes and wait
Your fate is not yours to choose
You can try to realise
But in the end we lose
We lose, we lose"
305,"Life as One (Lyrics):

[Verse 1]
The ocean where we lie
See the stars tonight
The ocean where we lie
See the stars tonight
The glow of concrete skies
See the distant lights
The glow of concrete skies
See the distant lights

[Interlude]

[Chorus]
We come in numbers, we come with need
We have a reason to fight my greed
Just take a look, don't look too hard
Youâ€™ll see your image, yourself surpassed
Don't be afraid, with open arms
This is the day to lay down arms
And with our strength, we'll be as one
A life of goodness, a life as one
A life as one, a life
A life as one"
306,"I Didn't Know (Lyrics):

I didn't know about those other things
I could've been there but now it's too late
But only here for one hour, you want it till it's gone
Try to find the best, I know you

I didn't know that you would leave so soon
I tried a little harder to make you smile once more
One day I'll come to find you, wherever you may be
Only time was kinder, you would still be here"
307,<3
308,Perfect music while we are confined :)
309,oh yes.
310,Its super shitty that y'all dont even own the music yet you put ads after every song. Is this money going to the creator?
311,"En tiempos de cuarentena, este Ã¡lbum ha sido de mis pocos sosiegos. Gracias en el alma."
312,Best recommendation yet
313,my new cafe backround musick .its so awsome
314,Nice post! Check out my original tunes on youtube here! I'll think you'll dig 'em! <3
315,"I don't even Like this album ...I LOVE ITâ¤ğŸ’œ 
This album, a good book and some coffee, the world stops â¤"
316,shimmers on X0.95 really hits... Thank me later..
317,wahhhhhhhh! j'aime!!!
318,Skinshape found me at the port of mobile
319,Cumming
320,very nice album
321,Why...so..many ads
322,Thank you universe for allowing me to manifest this moment.....
323,What are the chances I find this album the first time I take a dose in some years? Coincidences don't exist.
324,Album maravilhoso
325,my nigga this shits good.
326,esto esta siendo el sonido de mi vida Ãºltimamente
327,This feels so good in my ear holes.
328,les debo mi dia. âˆ€
329,28:37 - I love Pink Floyd!
330,"i wasn't high, but i found this Ã¡lbum and now i'm talking with the clouds."
331,nice find Youtube :)
332,AMAZING! MASTERPIECE~
333,My 16-year old sent me here.
334,We are all in this together
335,50 putain de pub
336,"Kiedy na albumie nie masz ulubionej piosenki bo wszystkie sÄ… ulubione :D do tego nie masz nawet ulubionego albumu, takie sÄ… dobre  -  takie rzeczy tylko Skinshape"
337,"excelente album por la cresta/ very awsome album, guys. From Chile!"
338,"Lo estoy amando, ojalÃ¡ venga a PerÃº"
339,Have a good day.
340,This comment is special :)
341,This album makes me feel like I finally have a home.
342,"Such a lovely work,  nice listening"
343,"People who play this at wingstop McDonald's or other food places 

I love u and thank you  ğŸŒŒâ˜ºğŸŒŒ"
344,OMG! Magic!
345,"Beautiful, thank you so much"
346,Lovely album. Good vibes. Good music. ğŸ–¤â£
347,skinshape  / i hope he keeps making music / it has powerful healing resonance
348,"First Track  no diggity, while hitting a stone , if you dont get it ................."
349,Thank you  so  much! Hvala najlepÅ¡e!
350,I honestly hope this Genre takes over the '20s . So bored with hiphop/rap.
351,All killer room filler
352,William was the bassist in Palace. Also very 'heady and crystalized.'
353,Just Wonderful <3
354,"I didn't expect much from this recommendation, but I'm staying"
355,"Shhhh... just, listen."
356,Easily in the Top 10 albums of the decade.
357,This music really goes down nicely with a big slice of brie and some champagne.
358,Sound Skipping all over me x
359,Ads are running it
360,Me smoking a joint this music is on point no holding  back just chilling  the creator is everywhere  existingğŸ·ğŸ¸ğŸ¹ thanks for  good music
361,best album for 2019 to chill at home doing everything~~~~!!!!!
362,@18:25
363,At 15:10 life begins...
364,God damn elements ğŸ’«
365,Why isnt this from ninja tune?
366,this album is a Masterpiece!
367,13:00
368,"Heureusement qu'il y a les britanniques pour la musique, toujours Ã  l'avant garde! Chez nous, en France, il y a de bons artistes, mais les malheureux restent inconnus Ã  vie, surtout s'ils sont crÃ©atifs. L'espace sonore est monopolisÃ© depuis des lustres par les marchands de soupe qui ne prennent aucun risque et nous inondent de variÃ©tÃ© Ã  pleurer de nullitÃ© et de conformisme !"
369,The beat that kicks in around 27:27 is my soul rhythm.
370,"What does ""floxiny"" mean?"
371,delicia absoluta
372,le seul mot qui me viens Ã  l'esprit est : excellence ! cz truck me donne envie de planÃ© One Love
373,<3
374,"""we lose"" gets to me. But I've learned to somehow see it as something positive that we all lose"
375,this album is magical
376,"It had been a rough year and one day, after talking with my sister she showed me this jewel and I fell in love with it instantly. Since we do not live in the same house we are closer than ever, I'd say. This is how Skinshape found me."
377,One of the best albums I've ever heard
378,chill
379,i love this!!!! does anyone else think it sounds like a nicholas brittel score?
380,"Come play around these parts (Italy) sometime. Your fan (amongst many other Italian fans) (just come, will you? ciao)"
381,Wow wow wow!!!
382,"inspiring work! 

'i didn't know' :::: the lyrics are a bit cute and light weight, which gives it this sweet innocence when paired with the crazy simple rhythm / melodies. When the second verse ends I get overwhelmed by the horns each and every time. That is a sublime energy that I feel has come from a unique source.. imagine someone with little to no life experience trying to produce that emotion with such perfection. Impossible. 

'shimmer' ::::: it took me a little while to connect the dots on this track as far as what it reminds me of.. and I love the frustration of not knowing but feeling the connection to a past body of work. anyways, i figured it out hence why I am commenting; Grizzly Bear - Ready, able. I can hear it float in sync so nicely, it just kind of melds underneath this melancholic tune."
383,Pa andar bien FUmao...
384,I didnt dont know loooveitt
385,I am floating in fluffy white clouds of happiness and gratitude to these wonderful sounds and people.
386,"Yo yo, are you aware that your timestamps in your description box all link to the same song? Because you linked the song length, so they just skip to 3 minutes the album, or 4 minutes 30 seconds, 3 minutes 08 seconds into the album tc... Just thought I'd let you know."
387,"Nice to see how Will has evolved having known him in school, there was always something special in him, visible only through the eyes"
388,Ï„Î¹Î¼Î¹Î¿.. Î±ÎºÎ¿Ï…Ï‚ Î½Ï„Î¿Ï…ÎºÎ·;
389,Nothing kills the mood like an ad after every song
390,Wow. Just WOW!
391,beautiful <3
392,åŒ—æµ·é“é˜¿å¯’éƒ¡
393,"19:05 please, once again"
394,9:19 goosebumps
395,"Your voice is speaking beyond the limits of physics out here in my garden on the little chair i am sitting on watching the stars, 3:00 AM, trying to assume how lonely i can be in term of love-relation, and enjoying the presence of one of my little friend between my 2 fingers :3"
396,curved air
397,Every one needs to chill to skinshape
398,"play shimmer at x1.5, the drums coming in sounds like the Doors see ya guys"
399,"The first night i listen this album, its been at the end of a party, me and the girl i like stay alone with a very good tea and then we go to thr couch and start to hug and cuddle, suddenly she stand and say me good night and enter on her room.i keep listening and enjoy the momement. Now im in bed with two beautiful girls and listen this again, i never knows what comes tomorrow but im happy
Thanx Skinshape
Saludos desde Valparaiso"
400,Skinshape just found me. Stoked ğŸ˜
401,dropped a tab and let youtube recommend find this gem for me!
402,My drug.
403,God damn this is chill. So glad I stumbled in here.
404,ÎµÎ¹ÏƒÎ±Î¹ Ï…Ï€ÎµÏÎ¿Ï‡Î¿Ï‚ duuuude!!!!
405,"Good damn, just when I thought drugs were better than Real life.. Thank you!!"
406,Smooth album ğŸ˜
407,nothing sweeter than getting high as a pig after work and listening to the last two songs for 21031023120 times
408,"I always listen this album on hotelÂ´s  roof (my work) My friend Chente and i always put this album to see the whole city. ItÂ´s incredible how all this sounds take the present scene, (the city lights) and make something magic with it when you look the stars."
409,So many feelings and emotions packed into one album. Easily one of the best albums of the decade.
410,10/10 for sure.
411,"this might be my favorite album for my 2019 , cant stop listening. much love from MÃ©xico"
412,The ads are killing me
413,"Dear Nice Guys:  Please fix your track listings, as all the start times are within less than 2 minutes of each other.  Thanks."
414,A new musical genius is born. That's so rad !
415,cuts hard butter WITH EASE...Love it.
416,"words are hindrance to describe how I feel listening to Skinshape, its everything & nothing at the same time"
417,"Que buen disco, enriquecedor â¤ï¸â­"
418,"Breath just helps me to breath in this moment, thank you"
419,"On my way home from my stressful day as a nurse.. Sun is shining, a Little too warm in the car.. but that doesn't matter when this gem turns up unexpected!"
420,Is orgasmic
421,first track i've listened to was life as one. instant chills. it's been a while since a song gave me goosebumps
422,"I found this album in December. 

It was a good end of winter and a beautiful spring. 

Everey drawing day, i use Skinshape to inspire my mood. 

In some way i lost something this months. 

It was my girlfriend, but something more. 
The tranquility mornings with sun, fresh air and drawings.
Skinshape in the back.
The sentation of hope. 
A better future, something lime that. 

I donÂ´t now what. But somethings lost.
And now, Skinshape hurts. 
In a beautiful way."
423,Pure.
424,"This is more than just music, just an album......this is something equivalent to the supernatural"
425,SEM PALAVRAS
426,You know that new sound you're looking for?
427,first time listening to this band. i have to say i am loving the music :)
428,some kinda good good not bad wtf is this?
429,What is the progression of youtube suggestions that brought you here?  Me ~~ AP Project - Still Corners -- Beach House -- This
430,"very cool listen this too  
https://www.youtube.com/watch?v=VcVpT_xoPQ8"
431,Love this!
432,This is one person... !!!
433,First song is almost Mad Season level.
434,Hello from 3019. This is still awesome.
435,Beautiful music!
436,"Omg, eargasmğŸ˜ğŸ‘Œ"
437,I'm so incredibly glad I found this... Pure gold.
438,2019
439,Easily 2019's best album.
440,Magic
441,so good <3
442,beautiful! so easy and melow! love every single tune of that album. Thanks for playing from the heart!
443,I just came here to say DAMN !!!
444,"Great feeling Skinshape. Thanks! We would like to share w u guys our new videoclip. 
Blue - https://www.youtube.com/watch?v=R4ZjfKN45i0"
445,Majestic.
446,la wea wena xuxetumare jeje q sucede realmenteeeeeeeeeeeeeeeee oeeeeeeeeeeeeeeeeaaaa
447,Therapist: Close your eyes and listen to Metanoia. Repeat 3 times daily
448,Amo este Ã¡lbum
449,"Hey everyone, if you like new listing to new music and you have a minute I'd really appreciate if you check out my music. Thanks!"
450,Skinshape â™¥
451,Listened to this twice. Ordering LP now. Wow.
452,"is there any social media of this band?, really want to know how this band developed so well."
453,Perfect Album.
454,"Woah!
It's like being on mushrooms which unfortunately I am not,lol. I love it to the deepest corners of my mind and soul. I lost my USB card with all my music - I have no back up. So now I am spending my days on youtube, spotify and searching in my not so good memory. I love to discover new music, I swear it's something that makes me feel alive ... I really love you guys - people who feel this kind of music can not be bad people. We all have our ups and downs, but I truly believe music connects us and brings the best out of us! A lot of love from beautiful mountains in Romania <3"
455,sexy music
456,Just bought on bandcamp.. thanks for sharing such incredible music
457,"https://www.youtube.com/watch?v=BHbEnRFAbHQ
CHECK THIS OUT!"
458,"omg, I love when I randomly find a work of art like this! So good!"
459,Things like this are my reason to still waking up every morning. ğŸ‘½
460,I could die to some of these songs. Somehow it feels like closure.
461,He kinda reminds me to Chet Faker
462,This is so beautiful <3
463,Very unique! I love this.
464,"we all donâ€™t find Skinshape, skinshape finds us"
465,"Why....have I not heard this before....tortured, all knowing, never questioning...wow.  Love it!!!!"
466,Metanoia is my favorite! Crazy vibes and bass melts my ear drums
467,sound of strings
468,This album turns loneliness into solitude. Love it.
469,Some damn good late night study music. Almost makes me happy to be here grafting into the late hours.
470,"This record is an embodiment of a beautiful life. The happy bits, the sad bits, the deep bits - this music sings the song of the soul."
471,"In my bed , tripping, here,  at SÃ£o Paulo City and I can say ,this is a jewel album. Love it"
472,de nuevo estoy en ese punto de youtube en que cada recomendaciÃ³n me gusta
473,"Hello random person(? Listening from Argentina.
I, personally, as a fan and student of music, love how every component of this album is perfectly ordered, time and notes, armony and melody, It's just perfect.
Always support art!"
474,"i'm alone in my room, just chilling listening this album and it's a masterpiece"
475,"Is this the new old gorillaz? 

I love it! <3"
476,10:23
477,Mortal!
478,i wish i could be in a band that plays music like this... just imagine playing these note on a guitar and giving these dope vibes... !!
479,If hotline miami was all chill
480,"trumpets, xylophones, fading guitars, violins... this is arrangement is great.
i wanted to do stuff, but those beautiful sound landscapes are pulling me in.
deep distant sunset underwater feelings... totally fell in love with your music.
one can hear that this is made with much love, so many details, such lovely accents..."
481,Magnifique
482,"Hearing and appreciating this songs while i'm cleaning my house. This is taking me in spiritual levels that I can't explain. Plus i'm using incense and crystals hahaha, it's a massive combo"
483,â¤
484,"Share here your ""How i meet skinshape"" story."
485,FANTASTIC
486,wow
487,Safe to say my recommendations hit it out out of the park today.
488,supermarket of sample
489,Anyone else get chill Pink Floyd vibes from these guys?
490,Ver nice (@_@)
491,Who in 2034?
492,what the fuck have I been doing with my life? I'm so fucking late to the party!!
493,"dÃ¼ÅŸÃ¼ncenin nerede bittiÄŸi Ã¶nemsiz ama hayatÄ±n nerede (zaman anlamÄ±nda) bittiÄŸi Ã¶nemli, hadi bit artÄ±k lan"
494,"That's such a good album again, well done to Skinshape"
495,Thank you so much!
496,I'm in LOVE
497,they had me at 0:01
498,great music to burn one down to
499,"So jazzy, so chill, so smooooth ğŸ‘Œ"
500,This is fucking awesome!
501,keep coming back & listening to this album. great stuff.
502,"""I didnt know"" reminds me of time spent with an old friend as we overlooked downtown Austin in the rain."
503,I GOT HERE BY HOMESHAKE
504,"Tuned in on this album while trying to get some work done... not possible. Can't stop my mind from simply drifting away into the music, so full of thoughts. I'm lovin it!"
505,this is ok
506,Sensational and Brilliant
507,very good album
508,"WOW just went through the complet album, amazingly good while studying. I knew the two first songs since like 1 month but I always stoped before the 3th started.It was worth a shot. Thanks for those good vibration :)"
509,reminds me of porcupine tree
510,"Needless to say, even the comments accentuate the absolute chillness that is happening up above."
511,Thoroughly enjoyed the album...
512,I can relax to this guy.   thanks HC
513,"this is not spectacular music, neither bad one, it just feels really really good
too simple and too soft, im discovering something new in the conception of music
its like ""middle music"" 
btw u must pass by some sort of deep loneliness to really taste this"
514,Reminds me the pink floyd`s album obscured by clouds. Amazing!
515,I PAINT AND DRAW TO SKINSHAPE! LOVE THEM CHECK OUT @thedarknesslives AND LEAVE ME A COMMENT
516,I'm 23
517,"When people say â€œMusic these days suck, people donâ€™t know how to make music anymore,  etc. etc.â€ I wish I could show them this side of YouTube.  Ohhh my friend youâ€™re not looking in the right places . Itâ€™s out there right under your noses ğŸŒ"
518,22:45 reminds me of Interstellar
519,dosnt the first song have basically the same cord progression as house of the rising sun
520,I'm enjoying this with Bacon & Eggs
521,Iâ€™m really laying here thinking about life... wish this had more view.. the world needs this kind of music
522,"pls fix the timestamps in the description
Lengths doesnt make any sense"
523,this is fucking magical
524,I love this !!!
525,son lo mejoooor!!!!!!<3
526,This is sooo good.
527,thats is really good :)
528,this is good for me
529,the correct shadow
530,I inhale and exhale the vibe of this album
531,"who plays the violin? seems like a flip of the guitar. Countering the simplicity of the guitar with emotive, progressive, melodies."
532,0:05 seconds in and i love this already.
533,"The vocals on ""Metanoia"" reminded me a bit of Dan Auerbach (not in a bad way, though). A very nice album, thumbs up!"
534,2019
535,the drums are fucking dope on this!!
536,Eu sou pika moro?
537,Ya empezo bien. Tiene q ser un muy buen album
538,<3
539,increible
540,this is pure pleasure.
541,found this today... thanks! wow!
542,Beautiful. What a great time listening this.
543,"Smooth stylish and trippy 
Loving this"
544,"kind of ~magic~ I need now.. d reason it found me.. ) thank you, ) *
<3"
545,"You must have lived I mean truly lived this album. It has life in it. 
Since the second I heard it I could not leave it for a second. Its kinda like when you fall in love.
I'm in love with this album. Truly obsessed in the most compelling way possible <3"
546,yeh but ads
547,nice sound
548,Oh... hello fellow peoples with good taste in music!
549,S e n s a c i o n a l sensacional...
550,what a treausure !
551,Life as one: anyone got Foals vibe?
552,nice and sweet
553,ì§„ì§œ ê°œì©ë‹¤.
554,wow this is everything im looking for
555,"Iâ€™m wondering if theyâ€™ve ever heard Time by Arthur Brown 1968, first song is almost spot on the melody"
556,"What if, I put on a Microsoft vr headset in the year 1995 and I am still wearing it today?"
557,I feel like Christophe Colomb
558,Really great!
559,"este album se convirtiÃ³ en uno de mis favvv, una gran maravilla para mis dÃ­as <3"
560,We need this soothe
561,Discovered this yesterday and I didn't know how much I needed this in my life
562,Such beautiful music! Their ambient musical harmonies to 'I didn't know' brought me to this discovery.
563,sooo smooth .. lost in a dreamlike state
564,à¸ªà¸§à¸¢à¸‡à¸²à¸¡
565,NICE GUYS for ever
566,Got high listening to this.
567,I want to be this guy's guitar
568,you dudes have such a killer taste in music thanks for sharing
569,Perfecta para soÃ±ar
570,ngentot dah nih orang kane bett bikin lagu
571,"Always makes me miss the future experiences I may have one day (: another gem to show the parents of my grandchildren some time from now! 






<3 Diodes"
572,Why doesnâ€™t this fucking track list make any sense to me
573,Alguien tiene informaciÃ³n de el autor o creador de esta mÃºsica? o es anÃ³nimo?
574,Esse som Ã© incrÃ­vel!
575,The guitar melody almost reminds me of Cold War Kids ğŸ¤”
576,"This album is unreal good.  Holy effing sweetness, my word man!!!"
577,"first song intro sounds like the intro of ""Feeling good"" from Nina Simone"
578,"I wonder how many more times people are going to be ""inspired"" by glory box....stale"
579,im diggin it. thanks for the uploadddddd :)
580,Some genius shit
581,"music that hits. amazing album, fucking enjoyed every second of it."
582,ğŸ™ğŸ™ğŸ™Œyessssss!!!!
583,"^^
Percepciones aglomeradas... 
Â¡Excelente sonidos, extraordinario trabajo!"
584,"After 8 years of virtual friendship, I finally met my pal Mauricio in Buenos Aires. I went with him to change a shirt he had bought, and the guy in that store was listening to this jewel. I couldn't help asking what it was. That's the story about I happened to know Skinshape. â¤"
585,megusta
586,omfg sitting here on a bench in the wild smoking my lil friend between the fingers. Dude I love being alone and typing this kind of messages under the spell of magic of this kind of unique sounds man. A solid 10/10 from me my dudes! keep it up please.
587,Sometimes correct as  Shadow and Squarepusher
588,Vanilla elixier ğŸ’›
589,wow awsome ....never heard about this guy before....just heard it on the radio as a brand new album and I liked it. definetly have to check out this dude
590,genial
591,Is anybody listening in 2020? â¤
592,"0:00 After Midnight
4:38 I Didn't Know
8:15 Metanoia 
12:13 Shimmer
16:58 Breathe
19:52 Life As One
24:13 We Lose
28:37 Filoxiny"
593,damn this is good.
594,I love when niceguys post stuff that I never heard that I really like. Thanks for this one dude!
595,this is goosebump music!
596,"how's this not known, idk! D: great job!"
597,two people were hurt by someone who jammed to this album
598,"Why Shimmer does not have vocals? OMG what an amazing tune. I don't like only instrumental songs, I wish it had SOME kind of lyrics. :(
I love this artist so much btw. Every single track"
599,Damn <3
600,"Found out skinshape 5 am after some drinking vibes dinner, home and it keeps me from going to bed. Music is addictive, but it is the best adiction ever ;)"
601,I believe the tracklist in the description is fkd up?
602,Excellent
